ID,Type,Name,RA,Dec,VLSR,VGSR,VLGSR,FWHM,MajAxis,MinAxis,PA,Size,TPeak,NHI,Flux,GNAME
87,XHVC,273.4-78.1+082,20.175,-37.2666666667,82,37,62,69,0.5,0.5,-12,0.4,0.32,0.32,35.9,
88,XHVC,275.5-80.8-132,18.05,-35.2333333333,-132,-167,-140,70,0.3,0.2,66,4.37,1.68,1.86,1321.7,
89,XHVC,276-13+098    ,126.475,-60.7833333333,98,-115,-152,44,8.6,7.1,12,4.57,1.36,1.36,750.9,
90,XHVC,277.1+19.3+097,161.775,-37.2833333333,97,-109,-165,26,0.7,0.4,-15,1.4,0.31,0.18,103.2,
91,XHVC,278.3+46.0+108,175.55,-13.5166666667,108,-43,-102,38,0.3,0.3,24,1.97,1.02,0.75,319.1,
92,XHVC,278.3+29.9+090,168.65,-28.2666666667,90,-99,-158,27,0.2,0.2,-88,1.48,0.58,0.29,117.1,
93,XHVC,279.5+37.2+078,172.875,-22.0166666667,78,-95,-156,31,0.5,0.3,39,0.39,0.36,0.23,31.4,
94,XHVC,280.2+30.0+091,170.35,-28.9166666667,91,-97,-158,32,0.5,0.3,26,1.41,0.37,0.25,121.2,
95,XHVC,280.6+26.0+102,168.95,-32.65,102,-92,-153,33,1.2,0.3,-87,7.66,0.82,0.6,1007.8,
96,XHVC,280.8+21.2+087,166.65,-37.1333333333,87,-114,-174,37,0.4,0.3,-3,4.0,1.29,0.93,685.0,
97,XHVC,282.1+08.4+162,160.275,-49.1666666667,162,-51,-108,30,0.3,0.2,-86,3.88,0.85,0.48,471.2,
98,XHVC,282.5+15.0+125,165.1,-43.4666666667,125,-83,-143,33,0.5,0.3,77,16.36,1.81,1.2,3666.6,
99,XHVC,282.7+18.7+127,167.55,-40.1166666667,127,-76,-137,38,0.8,0.4,-13,1.72,0.51,0.38,247.9,
100,XHVC,283.4-18.7+082,124.0,-70.15,82,-121,-160,27,0.3,0.2,10,1.16,0.48,0.22,90.1,
101,XHVC,283.9-79.6+110,17.075,-36.8666666667,110,72,97,39,1.4,0.5,83,3.25,0.49,0.37,385.2,
102,XHVC,287+07+134    ,166.5,-52.5666666667,134,-74,-135,36,17.5,15.2,86,7.48,0.71,0.74,802.0,
103,XHVC,287-72+082    ,19.5,-44.0666666667,82,17,34,34,5.4,2.1,34,4.38,1.82,1.19,1352.3,
104,XHVC,287.2-58.3+083,28.05,-56.9666666667,83,-28,-27,42,0.4,0.2,32,5.21,0.59,0.44,583.4,
105,XHVC,287.6+17.1+111,172.55,-43.3,111,-89,-154,53,0.5,0.3,-77,54.48,2.56,2.26,12754.2,
106,XHVC,287.9-38.8+118,56.325,-72.85,118,-45,-68,38,0.3,0.3,53,3.85,0.67,0.52,485.0,
107,XHVC,288.4-81.8-109,15.375,-35.0833333333,-109,-139,-112,44,0.7,0.5,-4,4.17,0.34,0.24,436.8,
108,XHVC,289.4+32.1+083,179.675,-29.4166666667,83,-93,-161,38,0.5,0.3,-62,1.87,0.5,0.39,226.0,
109,XHVC,289.6+11.4+130,172.625,-49.3666666667,130,-73,-137,56,0.3,0.2,55,0.64,0.48,0.34,77.4,
110,XHVC,290.4+60.3+096,186.7,-1.9666666667,96,-7,-66,35,0.3,0.2,-29,0.6,0.28,0.2,41.1,
111,XHVC,290.5+23.0+167,178.25,-38.4333333333,167,-22,-91,40,0.4,0.3,-20,73.82,4.52,4.66,31023.6,
112,XHVC,291.2-67.1+131,19.85,-49.3833333333,131,51,60,39,0.7,0.5,39,33.15,2.73,2.22,11502.3,
113,GLXY,291.4-41.7+191,42.8,-72.6166666667,191,38,17,52,1.1,0.4,-80,274.6,118.41,93.2,1225198.5,NGC292
114,XHVC,292.0+07.2+143,174.1,-54.0833333333,143,-59,-123,39,0.7,0.5,15,2.4,0.38,0.36,230.4,
115,XHVC,292.3-27.3+089,99.45,-80.5333333333,89,-92,-129,37,0.5,0.4,37,3.59,0.83,0.47,380.1,
116,XHVC,292.6+28.1+082,181.875,-33.9166666667,82,-97,-167,34,0.5,0.3,-39,0.76,0.28,0.15,62.4,
117,XHVC,294.2-76.1+134,15.65,-40.8666666667,134,86,105,38,0.4,0.3,37,6.76,1.83,1.41,1985.8,
118,XHVC,294.5-55.3+080,22.8,-61.1333333333,80,-34,-41,59,0.6,0.4,86,0.23,0.1,0.07,9.0,
119,XHVC,295.7+36.7+087,186.45,-25.8166666667,87,-72,-144,33,0.3,0.3,-70,0.8,0.35,0.23,67.6,
120,XHVC,296.5+55.4+089,189.175,-7.3333333333,89,-23,-88,27,0.7,0.5,68,0.93,0.37,0.23,107.0,
121,XHVC,297.6-73.7+126,14.925,-43.3166666667,126,71,87,67,0.6,0.4,-4,1.25,0.71,0.54,226.7,
122,XHVC,298.0+18.2+085,186.25,-44.4166666667,85,-99,-171,39,1.0,0.4,-20,7.26,1.17,0.74,1359.3,
123,XHVC,298.4+10.6+113,185.625,-52.0166666667,113,-77,-147,43,0.6,0.3,57,40.92,3.31,3.01,11515.3,
124,GLXY,300.3-79.4+134,13.7,-37.6833333333,134,99,121,100,0.3,0.2,52,1.82,6.42,9.51,2463.0,NGC301
125,XHVC,303.5+21.6+098,193.525,-41.2666666667,98,-73,-148,55,0.3,0.3,40,4.33,0.39,0.36,384.0,
126,XHVC,303.6+36.4+097,193.45,-26.4333333333,97,-51,-126,71,0.3,0.3,-42,0.94,0.3,0.29,80.6,
127,XHVC,304.2+07.4+116,195.125,-55.45,116,-65,-137,38,0.4,0.3,-71,3.68,1.05,0.85,722.0,
128,XHVC,304.3+27.3+094,194.4,-35.5166666667,94,-67,-144,34,1.7,0.6,-48,4.8,0.96,0.64,708.6,
129,XHVC,305.5-13.5+086,203.15,-76.1333333333,86,-88,-147,37,0.4,0.3,36,1.97,0.86,0.6,344.5,
130,XHVC,306.5-18.2+080,214.1,-80.4833333333,80,-87,-142,26,0.6,0.3,37,1.76,0.51,0.24,115.7,
131,XHVC,308.2-84.2-164,12.225,-32.9166666667,-164,-182,-154,58,0.7,0.3,-41,0.59,0.21,0.23,56.2,
132,XHVC,308.4+08.9+128,201.975,-53.6333333333,128,-42,-117,37,0.4,0.3,-48,2.08,0.31,0.25,154.1,
