ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e18 cm^-2)
17172,203,4,94.94,-12.91,221.04,-12.79,4.75,150.49,344.62,0.67,6.23,4.6,5.24
17256,219,160,94.54,-9.01,217.28,-11.46,8.55,143.04,95.45,1.06,9.79,7.45,19.19
19141,16,214,99.61,-7.66,218.31,-6.36,45.57,114.06,-105.18,1.1,10.23,6.82,27.12
19244,92,213,97.71,-7.69,217.48,-8.05,4.29,130.56,159.18,0.67,6.22,4.27,6.15
19261,91,13,97.74,-12.69,222.04,-10.23,27.46,118.69,-10.27,1.13,10.47,8.06,18.79
19607,96,35,97.61,-12.14,221.48,-10.1,6.57,122.71,-48.4,0.79,7.33,8.32,14.44
20600,144,209,96.41,-7.79,216.99,-9.25,5.33,116.47,164.03,0.73,6.72,3.37,4.68
