ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e20 cm^-2)
0,171,87,67.99,26.66,172.16,-14.48,99.98,-100.11,-144.4,6.74,48.83,11.59,0.63
1,256,95,65.86,26.86,170.69,-15.77,23.57,-98.3,-288.43,0.95,6.73,5.36,0.08
2,151,102,68.49,27.04,172.16,-13.9,41.91,-91.45,-61.55,2.66,19.16,5.31,0.35
4,276,175,65.36,28.86,168.86,-14.74,116.41,-94.88,-7.21,3.52,25.47,6.75,1.17
347,327,76,64.09,26.39,169.93,-17.25,27.13,-119.03,-120.57,2.6,18.77,5.37,0.33
