ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e18 cm^-2)
75,1,1,80.02,-13.02,214.73,-26.06,14.13,-217.76,-100.2,,4.14,15.39,5.61
76,1,1,80.02,-13.02,214.73,-26.06,19.16,-217.76,-100.2,,10.04,15.13,12.79
78,1,1,80.02,-13.02,214.73,-26.06,8.52,-217.76,-100.2,,3.88,15.41,5.64
79,1,1,80.02,-13.02,214.73,-26.06,12.05,-217.76,-100.2,,4.47,15.41,5.94
81,1,1,80.02,-13.02,214.73,-26.06,8.52,-217.76,-100.2,,3.14,15.52,4.96
82,1,1,80.02,-13.02,214.73,-26.06,7.18,-217.76,-100.2,,3.83,15.4,5.19
83,1,1,80.02,-13.02,214.73,-26.06,12.54,-217.76,-100.2,,3.47,17.93,6.73
84,1,1,80.02,-13.02,214.73,-26.06,12.42,-217.76,-100.2,,3.57,17.36,7.3
85,1,1,80.02,-13.02,214.73,-26.06,8.64,-217.76,-100.2,,3.32,15.46,4.76
86,1,1,80.02,-13.02,214.73,-26.06,95.75,-217.76,-100.2,,32.73,16.8,45.55
87,1,1,80.02,-13.02,214.73,-26.06,10.58,-217.76,-100.2,,4.21,19.91,7.13
88,1,1,80.02,-13.02,214.73,-26.06,38.61,-217.76,-100.2,,11.78,15.71,16.27
89,1,1,80.02,-13.02,214.73,-26.06,36.8,-217.76,-100.2,,11.19,17.27,18.56
90,1,1,80.02,-13.02,214.73,-26.06,30.45,-217.76,-100.2,,6.66,16.07,11.16
91,1,1,80.02,-13.02,214.73,-26.06,21.43,-217.76,-100.2,,19.37,15.47,22.81
92,1,1,80.02,-13.02,214.73,-26.06,12.05,-217.76,-100.2,,3.0,15.52,4.97
93,1,1,80.02,-13.02,214.73,-26.06,9.84,-217.76,-100.2,,4.46,15.44,6.5
94,1,1,80.02,-13.02,214.73,-26.06,12.55,-217.76,-100.2,,11.31,15.34,16.28
96,1,1,80.02,-13.02,214.73,-26.06,9.02,-217.76,-100.2,,5.18,15.16,5.82
97,1,1,80.02,-13.02,214.73,-26.06,7.18,-217.76,-100.2,,3.48,15.41,5.13
