obsid,uid,gp_id,designation,obsdate,lmjd,mjd,planid,spid,fiberid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,class,subclass,z,z_err,ps_id,mag_ps_g,mag_ps_r,mag_ps_i,mag_ps_z,mag_ps_y,gaia_source_id,gaia_g_mean_mag,fibertype,offsets,offsets_v,ra,dec,fibermask,with_norm_flux
96307141,G17221184585331,313590409983736960,J011309.45+314907.7,2012-12-25,56287,56286,VB016N33V1,7,141,18.289415,31.818811,15.31,50.84,58.84,38.75,33.48,STAR,A7,-3.6692e-06,1.30757e-05,1.4618018289623382e+17,-999.0,-999.0,16.6933994293,-999.0,-999.0,313590409983736960,12.686296,Obj,0,0.0,18.289415,31.818811,0,1
96407141,G17221184585331,313590409983736960,J011309.45+314907.7,2012-12-25,56287,56286,VB016N33V2,7,141,18.289415,31.818811,15.26,49.27,54.06,33.49,27.48,STAR,A7,-1.17081e-05,1.35427e-05,1.4618018289623382e+17,-999.0,-999.0,16.6933994293,-999.0,-999.0,313590409983736960,12.686296,Obj,0,0.0,18.289415,31.818811,0,1
1070810074,G17221061312732,313563330214112768,J011312.42+312553.2,2022-12-22,59936,59935,EG012256N315028V01,10,74,18.30178,31.431452,18.82,65.03,74.19,87.89,56.28,STAR,A7,-0.0003349984,1.4977e-05,1.457101830172884e+17,13.6845998764,13.5355997086,13.5101995468,13.5555000305,13.5521001816,313563330214112768,13.485706,Obj,0,0.0,18.30178,31.431452,64,1
837209246,G17229546585063,309649790374055808,J011313.28+290348.8,2020-09-19,59112,59111,EG010815N285204M01,9,246,18.3053424,29.06357,6.17,26.81,29.73,29.24,11.15,STAR,A1,-0.0007709,4.12285e-05,1.4287018305031715e+17,-999.0,-999.0,21.5396995544,-999.0,-999.0,309649790374055808,17.20725,Obj,0,0.0,18.3053424,29.06357,0,1
256010167,G17228933451415,306837892464925696,J011314.87+262731.2,2014-10-25,56956,56955,EG011927N271550V01,10,167,18.3119735,26.4586702,69.7,159.88,186.43,206.71,141.24,STAR,A6,-6.8047e-06,2.06476e-05,1.3975018311657117e+17,-999.0,-999.0,17.0457992554,-999.0,-999.0,306837892464925696,12.840611,F-Std,0,0.0,18.3119735,26.4586702,64,1
837207122,G17231249181740,307230937807738880,J011321.72+272302.4,2020-09-19,59112,59111,EG010815N285204M01,7,122,18.34054,27.384001,5.41,31.21,41.82,46.44,25.72,STAR,A6,-0.0003579476,3.28561e-05,1.4086018341153138e+17,-999.0,-999.0,-999.0,20.1746006012,-999.0,307230937807738880,17.013166,Obj,0,0.0,18.34054,27.384001,0,1
74212078,G17221422200796,310058190224137600,J011324.66+301807.5,2012-10-29,56230,56229,EG010815N285204V01,12,78,18.352786,30.3021,14.13,38.73,37.14,29.64,25.54,STAR,A7,-0.0003990427,1.00403e-05,1.443601835281533e+17,13.4872999191,-999.0,-999.0,-999.0,-999.0,310058190224137600,12.107796,Obj,0,0.0,18.352786,30.3021,0,1
837208142,G17231292823624,307348753056011136,J011326.51+281341.9,2020-09-19,59112,59111,EG010815N285204M01,8,142,18.3604698,28.2283324,4.6,23.39,32.0,36.83,21.78,STAR,A7,-0.0005961458,4.08616e-05,1.4187018360499456e+17,17.8801002502,17.6553993225,17.5932998657,17.5708999634,17.5804004669,307348753056011136,17.642693,Obj,0,0.0,18.3604698,28.2283324,0,1
270310059,G17231292823624,307348753056011136,J011326.51+281341.8,2014-11-21,56983,56982,M31020N28M1,10,59,18.36047,28.228293,4.96,18.67,21.86,26.77,15.97,STAR,A6,-0.000609088,3.51243e-05,1.4187018360499456e+17,17.8801002502,17.6553993225,17.5932998657,17.5708999634,17.5804004669,307348753056011136,17.642693,Obj,0,0.0,18.36047,28.228293,0,1
256002178,G17228821102011,306810134091882624,J011331.08+260359.6,2014-10-25,56956,56955,EG011927N271550V01,2,178,18.3795383,26.066557,138.36,380.25,462.4,517.96,357.19,STAR,A6,1.18082e-05,5.9374e-06,1.3928018379477026e+17,-999.0,-999.0,-999.0,-999.0,-999.0,306810134091882624,10.51677,Obj,1,1.72,18.379005,26.066557,192,1
27403047,G17221036435624,310559464447183360,J011331.25+312024.7,2012-01-05,55932,55931,M31_019N31_B1,3,47,18.380223,31.340217,0.43,2.96,3.47,6.07,5.02,STAR,A0,-0.00030127,7.981e-05,1.4560018379764813e+17,-999.0,-999.0,-999.0,19.1891002655,-999.0,310559464447183360,16.24865,Obj,0,0.0,18.380223,31.340217,0,0
74212040,G17221378257688,310074103078495488,J011334.25+302956.6,2012-10-29,56230,56229,EG010815N285204V01,12,40,18.392727,30.49907,120.9,413.87,373.96,292.88,239.63,STAR,A5,-6.95481e-05,4.4698e-06,1.4459018392462944e+17,-999.0,-999.0,-999.0,8.8321304321,9.4423303604,310074103078495488,8.710031,Obj,0,0.0,18.392727,30.49907,192,1
291502236,G17221449124249,309859354713675648,J011334.67+300627.0,2015-01-03,57026,57025,M31019N31B2,2,236,18.394473,30.107505,8.38,26.22,31.02,36.23,25.3,STAR,A6,-0.0001854616,2.04808e-05,1.4412018394462957e+17,15.5222997665,15.4987001419,15.5721998215,15.6660995483,15.6555995941,309859354713675648,15.445899,Obj,0,0.0,18.394473,30.107505,64,1
1070702005,G17221410639780,310061664853210240,J011336.32+302645.3,2022-12-22,59936,59935,EG012256N315028B02,2,5,18.401356,30.445941,7.83,28.14,34.44,40.66,22.67,STAR,A7,-0.0004753288,2.84197e-05,1.445301840174163e+17,-999.0,-999.0,-999.0,19.7649002075,-999.0,310061664853210240,15.249049,Obj,0,0.0,18.401356,30.445941,64,1
7713017,G17221410639780,310061664853210240,J011336.32+302645.4,2011-11-24,55890,55889,B9002,13,17,18.401361,30.44595,1.05,9.03,13.14,13.61,7.1,STAR,A6,-0.0004316987,3.0421e-05,1.445301840174163e+17,-999.0,-999.0,-999.0,19.7649002075,-999.0,310061664853210240,15.249049,Obj,0,0.0,18.401361,30.44595,0,1
281016205,G17221410639780,310061664853210240,J011336.32+302645.3,2014-12-17,57009,57008,M31020N28B2,16,205,18.401369,30.445944,9.27,50.77,64.62,73.15,44.44,STAR,A7,-0.0004694581,1.77123e-05,1.445301840174163e+17,-999.0,-999.0,-999.0,19.7649002075,-999.0,310061664853210240,15.249049,Obj,0,0.0,18.401369,30.445944,64,1
389705213,G17221410639780,310061664853210240,J011336.32+302645.3,2015-12-16,57373,57372,M31019N31B1,5,213,18.401369,30.445944,9.9,50.71,56.89,57.95,33.18,STAR,A7,-0.0004706256,2.18484e-05,1.445301840174163e+17,-999.0,-999.0,-999.0,19.7649002075,-999.0,310061664853210240,15.249049,Obj,0,0.0,18.401369,30.445944,0,1
7712224,G17221541535416,310153405354693888,J011338.75+305222.1,2011-11-24,55890,55889,B9002,12,224,18.41147,30.872822,2.68,21.53,30.19,37.45,22.65,STAR,A7,-0.0001294229,2.72855e-05,1.450401841144475e+17,17.0508003235,-999.0,-999.0,-999.0,-999.0,310153405354693888,14.299819,Obj,0,0.0,18.41147,30.872822,0,1
1070710171,G17221541535416,310153405354693888,J011338.76+305222.1,2022-12-22,59936,59935,EG012256N315028B02,10,171,18.4115303,30.8728302,14.45,50.97,56.24,66.49,40.71,STAR,A5,-0.0001962358,1.70118e-05,1.450401841144475e+17,17.0508003235,-999.0,-999.0,-999.0,-999.0,310153405354693888,14.299819,F-Std,0,0.0,18.4115303,30.8728302,0,1
291505180,G17221541535416,310153405354693888,J011338.77+305222.0,2015-01-03,57026,57025,M31019N31B2,5,180,18.411549,30.872805,9.48,37.79,57.68,55.24,37.4,STAR,A3,-9.23305e-05,1.8346e-05,1.450401841144475e+17,17.0508003235,-999.0,-999.0,-999.0,-999.0,310153405354693888,14.299819,Obj,0,0.0,18.411549,30.872805,0,1
265010047,G17231405371873,307283061530810112,J011340.42+274922.8,2014-11-11,56973,56972,M31020N28B1,10,47,18.418422,27.823006,12.0,47.05,61.58,72.27,47.87,STAR,A6,-0.000360883,1.6845e-05,1.4138018417942864e+17,-999.0,-999.0,18.7385997772,-999.0,-999.0,307283061530810112,15.073036,Obj,0,0.0,18.418422,27.823006,0,1
837209189,G17229565841274,309741878768208896,J011341.07+293841.0,2020-09-19,59112,59111,EG010815N285204M01,9,189,18.4211331,29.6447474,4.55,23.76,29.93,31.73,14.89,STAR,A6,-0.0011897564,4.35968e-05,1.4357018421135424e+17,17.7978000641,17.7644996643,17.8176002502,17.8766994476,17.9274997711,309741878768208896,17.699232,Obj,0,0.0,18.4211331,29.6447474,0,1
270314136,G17229565841274,309741878768208896,J011341.08+293840.8,2014-11-21,56983,56982,M31020N28M1,14,136,18.421171,29.644693,1.62,11.4,11.01,14.17,7.86,STAR,A3,-0.0013749512,3.39235e-05,1.4357018421135424e+17,17.7978000641,17.7644996643,17.8176002502,17.8766994476,17.9274997711,309741878768208896,17.699232,Obj,0,0.0,18.421171,29.644693,0,1
282002121,G17229565841274,309741878768208896,J011341.08+293840.8,2014-12-19,57011,57010,M31019N31M1,2,121,18.421171,29.644693,4.05,17.99,16.86,18.47,10.27,STAR,A6,-0.0010407,2.214e-05,1.4357018421135424e+17,17.7978000641,17.7644996643,17.8176002502,17.8766994476,17.9274997711,309741878768208896,17.699232,Obj,0,0.0,18.421171,29.644693,0,0
266001237,G17221542809196,310160346021839488,J011342.17+305644.4,2014-11-13,56975,56974,M31019N33M2,1,237,18.425725,30.945682,7.02,29.35,32.42,31.94,18.18,STAR,A6,-0.0003678545,2.63182e-05,1.4513018425424486e+17,-999.0,-999.0,-999.0,20.3994998932,-999.0,310160346021839488,17.028582,Obj,0,0.0,18.425725,30.945682,0,1
27403024,G17221518395838,310166874372120960,J011343.91+310719.6,2012-01-05,55932,55931,M31_019N31_B1,3,24,18.432981,31.122113,0.07,0.8,3.13,7.64,8.15,STAR,A1,-6.325e-05,2.427e-05,1.4534018432963712e+17,15.1524000168,14.804400444,14.6757001877,14.6584997177,14.6267995834,310166874372120960,14.806926,Obj,0,0.0,18.432981,31.122113,0,0
266005225,G17221198801116,313573157099461376,J011344.86+313834.8,2014-11-13,56975,56974,M31019N33M2,5,225,18.436919,31.643016,3.73,21.26,27.3,27.96,14.36,STAR,A7,-0.0003502423,3.36566e-05,1.4597018436119245e+17,21.5510005951,-999.0,-999.0,-999.0,-999.0,313573157099461376,17.55601,Obj,0,0.0,18.436919,31.643016,0,1
90316168,G17230768812236,309631343489942144,J011348.85+284931.0,2012-12-05,56267,56266,EG011927N271550M01,16,168,18.453576,28.825286,4.22,24.95,28.52,30.02,16.51,STAR,A7,-3.1355e-05,3.05878e-05,1.4259018453702128e+17,18.5319004059,-999.0,-999.0,-999.0,-999.0,309631343489942144,15.467802,Obj,0,0.0,18.453576,28.825286,0,1
837207119,G17231265589843,307044295708805760,J011349.31+272145.9,2020-09-19,59112,59111,EG010815N285204M01,7,119,18.4554955,27.3627573,3.84,21.58,26.39,27.75,13.94,STAR,A5,-0.000245203,4.15621e-05,1.4083018455636528e+17,-999.0,-999.0,19.9039001465,-999.0,18.0622997284,307044295708805760,16.889305,Obj,0,0.0,18.4554955,27.3627573,0,1
270302033,G17231265589843,307044295708805760,J011349.32+272145.9,2014-11-21,56983,56982,M31020N28M1,2,33,18.455516,27.36275,7.13,28.03,31.93,34.28,18.53,STAR,A7,-0.0002787929,2.72522e-05,1.4083018455636528e+17,-999.0,-999.0,19.9039001465,-999.0,18.0622997284,307044295708805760,16.889305,Obj,0,0.0,18.455516,27.36275,0,1
282005220,G17221422114952,310053727753725952,J011354.04+301345.6,2014-12-19,57011,57010,M31019N31M1,5,220,18.475208,30.229335,3.3,20.0,26.29,27.57,12.63,STAR,A7,-0.000416755,4.18289e-05,1.4427018474664522e+17,21.2506008148,-999.0,-999.0,-999.0,-999.0,310053727753725952,16.787367,Obj,0,0.0,18.475208,30.229335,0,1
74209185,G17229785296116,309679034806761088,J011358.02+292017.8,2012-10-29,56230,56229,EG010815N285204V01,9,185,18.491784,29.338279,0.76,2.64,4.59,5.71,5.61,STAR,A1,-0.00038624,2.587e-05,1.432001849149968e+17,13.8843002319,-999.0,-999.0,-999.0,-999.0,309679034806761088,11.478859,Obj,0,0.0,18.491784,29.338279,0,0
249501242,G17229756054704,309689548886692480,J011359.03+292716.2,2014-09-26,56927,56926,M31019N31B1,1,242,18.495983,29.454519,15.16,47.81,46.29,42.52,22.88,STAR,A1,-0.00027641,1.02e-06,1.4334018496119642e+17,-999.0,-999.0,19.7719993591,-999.0,-999.0,309689548886692480,15.711021,Obj,0,0.0,18.495983,29.454519,0,0
266001052,G17221153156185,310562458039853440,J011401.99+312943.4,2014-11-13,56975,56974,M31019N33M2,1,52,18.50833,31.49539,2.97,10.26,12.86,13.33,7.46,STAR,A5,-0.00103476,1.368e-05,1.4579018508317507e+17,17.8208999634,17.6560001373,17.6042003632,17.6056995392,17.5904998779,310562458039853440,17.619648,Obj,0,0.0,18.50833,31.49539,0,0
265010239,G17230794989579,308854366726051968,J011403.48+282918.5,2014-11-11,56973,56972,M31020N28B1,10,239,18.514536,28.488494,37.18,117.15,123.06,132.35,84.69,STAR,A2,-0.0001976701,1.26421e-05,1.4218018514783651e+17,-999.0,-999.0,-999.0,-999.0,15.1400995255,308854366726051968,13.957425,Obj,0,0.0,18.514536,28.488494,64,1
256016057,G17229632657559,309635501018270464,J011405.05+290150.5,2014-10-25,56956,56955,EG011927N271550V01,16,57,18.5210469,29.0307,8.02,46.65,56.41,61.7,37.05,STAR,A7,-0.000172953,1.60111e-05,1.4283018521905702e+17,-999.0,-999.0,-999.0,19.4398002625,-999.0,309635501018270464,13.610144,Obj,0,0.0,18.5210469,29.0307,0,1
74209140,G17229632657559,309635501018270464,J011405.05+290150.5,2012-10-29,56230,56229,EG010815N285204V01,9,140,18.521047,29.0307,5.61,18.12,21.84,13.24,10.4,STAR,A7,-0.0002466039,1.46101e-05,1.4283018521905702e+17,-999.0,-999.0,-999.0,19.4398002625,-999.0,309635501018270464,13.610144,Obj,0,0.0,18.521047,29.0307,0,1
90316057,G17229632657559,309635501018270464,J011405.05+290150.5,2012-12-05,56267,56266,EG011927N271550M01,16,57,18.521047,29.0307,18.77,80.54,102.05,112.44,75.69,STAR,A7,-0.0001850614,9.9736e-06,1.4283018521905702e+17,-999.0,-999.0,-999.0,19.4398002625,-999.0,309635501018270464,13.610144,Obj,0,0.0,18.521047,29.0307,64,1
27403013,L17221025980936,27403013,J011409.02+311219.4,2012-01-05,55932,55931,M31_019N31_B1,3,13,18.5375971,31.2053917,1.45,5.64,4.47,4.78,3.81,STAR,A6,-2.03e-06,4.82e-06,,,,,,,-9999,-9999.0,Obj,1,6.09,18.5356208,31.2053917,0,0
265010205,G17231296704476,307297866283440640,J011409.76+280937.7,2014-11-11,56973,56972,M31020N28B1,10,205,18.540697,28.160479,5.75,23.36,30.87,39.17,24.41,STAR,A6,-0.0003761269,2.98206e-05,1.4179018540668317e+17,16.2572002411,15.976099968,15.856300354,15.8347997665,15.8159999847,307297866283440640,15.957458,Obj,0,0.0,18.540697,28.160479,0,1
255903229,G17228914831171,306870744670383872,J011413.24+264151.7,2014-10-25,56956,56955,EG011927N271550B01,3,229,18.5551958,26.6977167,56.25,206.92,220.01,255.67,191.4,STAR,A6,-0.0004052137,7.8721e-06,1.4003018554843774e+17,-999.0,-999.0,-999.0,-999.0,16.3619995117,306870744670383872,12.538229,Obj,0,0.0,18.5551958,26.6977167,64,1
282005228,G17221494245408,310086060267516160,J011416.88+303303.4,2014-12-19,57011,57010,M31019N31M1,5,228,18.570352,30.550968,1.31,22.76,31.22,35.02,18.36,STAR,A9,-0.0001035717,5.65058e-05,1.4466018569987146e+17,-999.0,-999.0,-999.0,-999.0,18.4521007538,310086060267516160,16.846657,Obj,0,0.0,18.570352,30.550968,0,1
270310203,G17231327884423,307296663692571008,J011423.49+280726.5,2014-11-21,56983,56982,M31020N28M1,10,203,18.597895,28.12404,3.95,17.44,23.18,31.21,19.21,STAR,A9,-0.0002922021,3.31229e-05,1.4174018597319942e+17,-999.0,-999.0,20.2607002258,-999.0,-999.0,307296663692571008,17.241095,Obj,0,0.0,18.597895,28.12404,0,1
1070802081,G17221306954525,309868494404095232,J011427.50+301720.2,2022-12-22,59936,59935,EG012256N315028V01,2,81,18.6146083,30.2889639,35.22,93.56,106.09,116.39,75.85,STAR,A7,-7.48851e-05,1.22084e-05,1.4434018614244685e+17,-999.0,-999.0,14.3765001297,-999.0,-999.0,309868494404095232,11.80284,Obj,0,0.0,18.6146083,30.2889639,64,1
74212009,G17221306954525,309868494404095232,J011427.51+301720.5,2012-10-29,56230,56229,EG010815N285204V01,12,9,18.614628,30.289039,18.72,47.27,50.74,38.89,34.4,STAR,A7,-6.37441e-05,7.2383e-06,1.4434018614792806e+17,-999.0,-999.0,-999.0,-999.0,-999.0,309868494404095232,11.80284,Obj,0,0.0,18.614628,30.289039,128,1
281016085,G17221320759576,309860041908473984,J011427.67+300105.6,2014-12-17,57009,57008,M31020N28B2,16,85,18.615304,30.018223,9.12,50.71,63.23,73.85,44.84,STAR,A7,-7.94216e-05,1.58777e-05,1.4402018615342246e+17,15.578499794,15.3951997757,15.3541002274,15.3868999481,15.38560009,309860041908473984,15.363973,Obj,0,0.0,18.615304,30.018223,128,1
291502070,G17221320759576,309860041908473984,J011427.67+300105.6,2015-01-03,57026,57025,M31019N31B2,2,70,18.615304,30.018223,10.2,27.15,36.59,44.35,32.37,STAR,A8,-7.83208e-05,1.95135e-05,1.4402018615342246e+17,15.578499794,15.3951997757,15.3541002274,15.3868999481,15.38560009,309860041908473984,15.363973,Obj,0,0.0,18.615304,30.018223,0,1
265016085,G17221320759576,309860041908473984,J011427.67+300105.7,2014-11-11,56973,56972,M31020N28B1,16,85,18.61533,30.018277,8.71,41.54,51.6,58.62,37.07,STAR,A7,-0.0001058065,1.96136e-05,1.4402018615342246e+17,15.578499794,15.3951997757,15.3541002274,15.3868999481,15.38560009,309860041908473984,15.363973,Obj,0,0.0,18.61533,30.018277,128,1
389702070,G17221320759576,309860041908473984,J011427.67+300105.7,2015-12-16,57373,57372,M31019N31B1,2,70,18.61533,30.018277,2.93,8.16,6.74,7.29,4.05,STAR,A8,-8.37246e-05,4.12285e-05,1.4402018615342246e+17,15.578499794,15.3951997757,15.3541002274,15.3868999481,15.38560009,309860041908473984,15.363973,Obj,0,0.0,18.61533,30.018277,0,1
74208078,G17229605340838,308863575136063360,J011449.71+284043.6,2012-10-29,56230,56229,EG010815N285204V01,8,78,18.707144,28.678781,5.29,16.58,11.4,12.19,9.58,STAR,A7,7.3284e-05,1.85128e-05,1.4241018707157512e+17,13.5993003845,13.5706996918,13.6335000992,13.7027997971,13.7011995316,308863575136063360,13.503844,Obj,0,0.0,18.707144,28.678781,0,1
256016161,G17229605340838,308863575136063360,J011449.72+284043.6,2014-10-25,56956,56955,EG011927N271550V01,16,161,18.7071757,28.6787911,25.19,105.04,121.97,136.54,89.31,STAR,A7,4.37636e-05,1.16414e-05,1.4241018707157512e+17,13.5993003845,13.5706996918,13.6335000992,13.7027997971,13.7011995316,308863575136063360,13.503844,F-Std,0,0.0,18.7071757,28.6787911,64,1
1070810130,G17221149179520,310554142983170176,J011457.33+312924.6,2022-12-22,59936,59935,EG012256N315028V01,10,130,18.7388981,31.490189,41.51,136.83,150.2,169.1,112.66,STAR,A7,-9.76009e-05,1.23085e-05,1.4578018738549926e+17,-999.0,-999.0,-999.0,-999.0,-999.0,310554142983170176,12.391042,F-Std,0,0.0,18.7388981,31.490189,64,1
265002129,G17231214454947,307029005625244160,J011458.59+271111.2,2014-11-11,56973,56972,M31020N28B1,2,129,18.744166,27.186455,16.51,57.09,68.42,73.34,43.2,STAR,A7,-0.0001593102,1.59444e-05,1.4062018744146435e+17,14.535900116,14.4298000336,14.5925998688,14.4672002792,14.4472999573,307029005625244160,14.386112,Obj,0,0.0,18.744166,27.186455,0,1
255903178,G17231214454947,307029005625244160,J011458.60+271111.3,2014-10-25,56956,56955,EG011927N271550B01,3,178,18.744176,27.186492,14.64,75.23,104.25,130.02,94.73,STAR,A7,-0.0002125804,9.9402e-06,1.4062018744146435e+17,14.535900116,14.4298000336,14.5925998688,14.4672002792,14.4472999573,307029005625244160,14.386112,Obj,0,0.0,18.744176,27.186492,0,1
265003235,G17231282058567,308800662455035904,J011501.66+281600.0,2014-11-11,56973,56972,M31020N28B1,3,235,18.756917,28.266667,9.9,38.58,39.6,49.42,34.82,STAR,A1,4.69992e-05,2.4617e-05,1.419201875747509e+17,-999.0,-999.0,21.1128997803,-999.0,-999.0,308800662455035904,15.538368,Obj,0,0.0,18.756917,28.266667,0,1
74212190,G17221702675503,310097394687435520,J011509.27+305032.5,2012-10-29,56230,56229,EG010815N285204V01,12,190,18.78863,30.842377,15.41,34.75,27.47,21.22,16.47,STAR,A7,-5.4705e-06,1.18082e-05,1.4501018788893136e+17,13.8360996246,-999.0,12.331199646,-999.0,-999.0,310097394687435520,12.0288,Obj,0,0.0,18.78863,30.842377,0,1
1070710158,G17221702675503,310097394687435520,J011509.30+305033.8,2022-12-22,59936,59935,EG012256N315028B02,10,158,18.7887875,30.8427472,89.29,232.97,256.57,296.18,205.26,STAR,A7,-1.67449e-05,7.9055e-06,1.4501018788985184e+17,-999.0,-999.0,-999.0,-999.0,-999.0,310097394687435520,12.0288,Obj,0,0.0,18.7887875,30.8427472,64,1
